"color","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_1_facebook_likes","gross","num_voted_users","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes","imdb_binary"
"Color",406,102,69,490,1000,400736600,421658,2582,0,904,"PG",1.5e+08,2013,523,7.6,2.24,58000,1
"Color",275,138,0,30,234,281492479,421818,534,0,2789,"R",1.5e+08,2003,198,7.2,2.35,0,1
"Color",486,112,230,12000,26000,206360018,414070,59803,3,532,"PG-13",1.7e+08,2013,20000,7.1,2.35,63000,1
"Color",739,120,750,943,27000,153629485,552503,40025,0,1588,"R",1.5e+08,2015,9000,8.1,2.35,191000,1
"Color",298,146,2000,294,15000,133375846,207839,16948,2,435,"PG-13",1.5e+08,2009,745,6.7,2.35,0,1
"Color",516,115,0,12000,26000,181015141,536314,60059,1,738,"PG-13",1.5e+08,2011,20000,7,2.35,63000,1
"Color",225,96,59,699,17000,114053579,146766,20007,0,178,"PG",1.5e+08,2008,759,6.9,1.85,0,1
"Color",145,88,12,182,730,119420252,33042,2217,0,90,"PG",1.5e+08,2009,607,5.1,2.35,0,0
"Color",310,99,473,502,14000,83640426,152826,16184,0,253,"PG-13",1.5e+08,2012,897,5.8,1.85,19000,0
"Color",526,113,13000,16000,40000,79711678,199039,80849,7,479,"PG-13",1e+08,2012,17000,6.2,1.85,82000,1
"Color",465,131,188,641,10000,195000874,232187,21840,0,440,"PG-13",1.5e+08,2015,10000,7.4,2.35,47000,1
"Color",357,119,394,162,12000,61937495,89442,13071,0,432,"R",1.5e+08,2010,490,5.8,1.85,0,0
"Color",248,110,282,103,11000,124051759,42372,21175,2,239,"PG-13",1.8e+08,2016,10000,6.6,2.35,29000,1
"Color",194,91,58,826,2000,126597121,105902,6576,0,206,"PG",1.5e+08,2007,852,6.2,1.85,0,1
"Color",284,90,90,15,11000,165230261,182718,21015,0,209,"PG",1.5e+08,2011,10000,7.3,2.35,20000,1
"Color",280,103,0,346,1000,131564731,118951,2857,0,1382,"PG",1.5e+08,2010,756,4.2,2.35,18000,0
"Color",310,124,14000,979,22000,133382309,256695,34817,0,871,"PG-13",1.5e+08,2006,10000,6.9,2.35,0,1
"Color",339,131,776,256,17000,73103784,164238,18204,2,434,"PG-13",1.5e+08,2013,551,6.4,2.35,33000,1
"Color",132,88,25,433,921,21379315,17590,2652,0,112,"PG",1.5e+08,2011,562,5.4,2.35,0,0
"Color",135,85,42,586,20000,64459316,85086,35161,0,122,"PG",1.49e+08,2006,14000,6.7,1.85,0,1
"Color",256,111,456,394,20000,34964818,39956,21393,4,186,"PG",1.5e+08,2015,548,5.8,2.35,24000,0
"Color",196,92,50,517,3000,111505642,47900,5810,2,130,"PG",1.45e+08,2014,1000,6.9,1.85,11000,1
"Color",220,196,249,844,11000,133228348,381672,17944,2,1694,"R",1.75e+08,2004,5000,7.2,2.35,0,1
"Color",211,93,35,436,851,216366733,119213,2444,0,154,"PG",1.45e+08,2012,770,6.9,1.85,17000,1
" Black and White",264,133,93,746,769,160201106,169914,2538,0,1185,"PG-13",1.42e+08,2002,766,6.1,2.35,0,1
"Color",464,116,176,322,783,118099659,69757,2097,4,1211,"PG-13",1.44e+08,2016,370,5.5,2.35,62000,0
"Color",167,153,0,537,13000,201573391,322395,26029,0,1171,"PG-13",1.4e+08,1998,12000,6.6,2.35,11000,1
"Color",208,88,188,826,10000,190418803,270207,14823,2,606,"PG-13",1.4e+08,2002,3000,6.1,1.85,2000,1
"Color",287,115,0,964,18000,82161969,142440,31523,1,505,"PG-13",1.5e+08,2007,12000,6.3,2.35,3000,1
"Color",210,95,5,967,24000,143523463,64322,36095,0,145,"PG",1.45e+08,2016,11000,7.2,2.35,24000,1
"Color",432,133,663,690,10000,209364921,365104,21768,3,512,"PG-13",1.45e+08,2011,10000,7.4,2.35,35000,1
"Color",256,97,52,161,20000,103400692,123553,20645,0,174,"PG",1.45e+08,2012,315,7.3,1.85,25000,1
"Color",135,90,23,233,957,110332737,110788,1997,1,258,"PG-13",1e+08,2005,550,6.1,2.35,2000,1
"Color",190,154,380,445,10000,111110575,317166,11945,1,928,"R",1.4e+08,2003,956,7.7,2.35,0,1
"Color",314,150,0,748,23000,65007045,128682,26490,0,657,"PG-13",1.4e+08,2014,893,6.1,2.35,51000,1
"Color",518,127,14000,981,26000,257704099,504419,39284,0,1559,"PG-13",1.5e+08,2009,12000,8,2.35,19000,1
"Color",291,121,0,4000,24000,403706375,544665,40484,0,2012,"PG-13",1.39e+08,2002,11000,7.3,1.85,5000,1
"Color",292,102,255,953,18000,176997107,221128,23378,5,343,"PG",1.45e+08,2014,3000,7.9,2.35,46000,1
"Color",184,126,295,284,18000,31141074,51892,19769,4,273,"PG-13",1.4e+08,2016,934,5.5,2.35,24000,0
"Color",145,121,357,653,820,31704416,45455,2705,0,388,"PG-13",1.35e+08,2005,780,5,2.35,0,0
"Color",451,215,0,413,986,107503316,392474,2530,1,1229,"R",1.3e+08,2009,745,7.7,2.35,18000,1
"Color",141,127,503,91,5000,129734803,127497,6171,2,287,"R",1.4e+08,1998,808,6.6,2.35,0,1
"Color",267,138,0,258,820,132122995,212106,1814,0,1445,"PG-13",1.37e+08,2003,300,5.7,1.85,0,0
"Color",351,122,209,934,17000,122512052,146352,31958,6,288,"PG-13",1.3e+08,2013,12000,5.8,2.35,42000,0
"Color",163,124,42,848,11000,68642452,77673,13073,3,463,"PG-13",1.3e+08,2005,973,6,2.35,0,1
